Date,Open,High,Low,Close,Adj Close,Volume
2002-02-08,34.75,34.75,34.5,34.5,34.5,3921700
2002-02-11,34.75,34.75,34.5,34.5,34.5,3801900
2002-02-12,34.75,34.75,34.5,34.5,34.5,2200500
2002-02-13,34.5,34.75,34.5,34.5,34.5,2605000
2002-02-14,34.75,35.25,34.5,34.75,34.75,14062400
2002-02-15,34.75,35.0,34.75,34.75,34.75,7410600
2002-02-19,35.0,35.25,34.75,34.75,34.75,4671500
2002-02-20,35.0,35.0,34.75,35.0,35.0,3004900
2002-02-21,35.0,35.0,34.25,34.25,34.25,6508300
2002-02-22,34.5,34.75,34.25,34.25,34.25,6367900
2002-02-25,34.5,34.75,34.25,34.25,34.25,1801300
2002-02-27,34.75,34.75,34.25,34.5,34.5,3872000
2002-02-28,34.5,34.75,34.5,34.75,34.75,3838700
2002-03-01,34.75,36.5,34.75,36.25,36.25,33728000
2002-03-04,36.5,36.5,35.75,36.0,36.0,14765300
2002-03-05,36.25,36.5,36.0,36.5,36.5,12605600
2002-03-06,36.5,36.5,36.25,36.25,36.25,3198400
2002-03-07,36.25,36.5,36.25,36.5,36.5,4169200
2002-03-08,36.25,36.5,36.25,36.25,36.25,3003800
2002-03-11,36.25,36.5,35.75,36.0,36.0,8609200
2002-03-12,36.0,36.0,35.75,35.75,35.75,2454600
2002-03-13,35.75,36.0,35.25,35.5,35.5,3565600
2002-03-14,35.5,35.75,35.25,35.5,35.5,1826700
2002-03-15,35.5,35.5,35.0,35.0,35.0,2130900
2002-03-18,35.25,35.5,35.0,35.25,35.25,999300
2002-03-19,35.5,35.5,35.0,35.5,35.5,1584800
2002-03-20,36.25,36.25,35.75,35.75,35.75,7954400
2002-03-21,36.0,36.25,35.75,36.0,36.0,2330500
2002-03-22,36.0,36.0,35.75,35.75,35.75,1658800
2002-03-25,35.75,36.0,35.75,35.75,35.75,853800
2002-03-26,35.75,36.0,35.75,36.0,36.0,2086900
2002-03-27,36.0,36.0,35.5,35.5,35.5,3079600
2002-03-28,35.75,36.0,35.5,35.75,35.75,1103800
2002-04-01,36.0,36.25,35.75,36.0,36.0,3249000
2002-04-02,36.0,36.25,35.75,36.25,36.25,5034100
2002-04-03,36.25,36.25,35.5,35.5,35.5,10276300
2002-04-04,33.0,33.5,32.75,33.25,33.25,6989500
2002-04-05,33.25,33.5,33.0,33.0,33.0,4205500
2002-04-09,33.25,33.5,33.0,33.25,33.25,4187600
2002-04-10,33.25,33.25,32.75,32.75,32.75,1490400
2002-04-11,33.0,33.0,32.0,32.25,32.25,5362200
2002-04-12,32.25,32.75,32.25,32.75,32.75,3971700
2002-04-17,33.0,33.0,32.25,32.5,32.5,5019600
2002-04-18,32.5,32.75,32.25,32.25,32.25,4225800
